[seqwish::seqidx] 1.312 indexing sequences
[seqwish::seqidx] 2125.054 index built
[seqwish::alignments] 2125.054 processing alignments
[seqwish::alignments] 6664.320 indexing
[seqwish::alignments] 46258.170 index built
[seqwish::transclosure] 61066.236 18.35% 44441429604-44491429604 rank_build
[seqwish::transclosure] 61168.312 18.35% 44441429604-44491429604 parallel_union_find
[seqwish::transclosure] 61748.778 18.35% 44441429604-44491429604 dset_write
[seqwish::transclosure] 61781.497 18.35% 44441429604-44491429604 dset_compression
[seqwish::transclosure] 61801.419 18.35% 44441429604-44491429604 dset_sort
[seqwish::transclosure] 61814.389 18.35% 44441429604-44491429604 dset_invert
[seqwish::transclosure] 61828.450 18.35% 44441429604-44491429604 graph_emission
[seqwish::transclosure] 62168.329 19.98% 44491429604-44541429604 overlap_collect
[seqwish::transclosure] 62304.229 19.98% 44491429604-44541429604 rank_build
[seqwish::transclosure] 62419.559 19.98% 44491429604-44541429604 parallel_union_find
[seqwish::transclosure] 63031.837 19.98% 44491429604-44541429604 dset_write
[seqwish::transclosure] 63060.746 19.98% 44491429604-44541429604 dset_compression
[seqwish::transclosure] 63087.454 19.98% 44491429604-44541429604 dset_sort
[seqwish::transclosure] 63100.228 19.98% 44491429604-44541429604 dset_invert
[seqwish::transclosure] 63114.965 19.98% 44491429604-44541429604 graph_emission
[seqwish::transclosure] 63519.713 21.63% 44541429604-44741895177 overlap_collect
[seqwish::transclosure] 63718.800 21.63% 44541429604-44741895177 rank_build
[seqwish::transclosure] 63829.621 21.63% 44541429604-44741895177 parallel_union_find
[seqwish::transclosure] 64303.421 21.63% 44541429604-44741895177 dset_write
[seqwish::transclosure] 64329.680 21.63% 44541429604-44741895177 dset_compression
[seqwish::transclosure] 64347.770 21.63% 44541429604-44741895177 dset_sort
[seqwish::transclosure] 64359.583 21.63% 44541429604-44741895177 dset_invert
[seqwish::transclosure] 64371.237 21.63% 44541429604-44741895177 graph_emission
[seqwish::transclosure] 64690.973 23.10% 44741922456-47900449378 overlap_collect
[seqwish::transclosure] 64817.763 23.10% 44741922456-47900449378 rank_build
[seqwish::transclosure] 64876.811 23.10% 44741922456-47900449378 parallel_union_find
[seqwish::transclosure] 64887.247 23.10% 44741922456-47900449378 dset_write
[seqwish::transclosure] 64888.436 23.10% 44741922456-47900449378 dset_compression
[seqwish::transclosure] 64889.307 23.10% 44741922456-47900449378 dset_sort
[seqwish::transclosure] 64889.894 23.10% 44741922456-47900449378 dset_invert
[seqwish::transclosure] 64890.636 23.10% 44741922456-47900449378 graph_emission
[seqwish::transclosure] 65430.187 23.16% 47900463340-51933560777 overlap_collect
[seqwish::transclosure] 65447.295 23.16% 47900463340-51933560777 rank_build
[seqwish::transclosure] 65506.009 23.16% 47900463340-51933560777 parallel_union_find
[seqwish::transclosure] 65506.645 23.16% 47900463340-51933560777 dset_write
[seqwish::transclosure] 65507.245 23.16% 47900463340-51933560777 dset_compression
[seqwish::transclosure] 65507.743 23.16% 47900463340-51933560777 dset_sort
[seqwish::transclosure] 65508.284 23.16% 47900463340-51933560777 dset_invert
[seqwish::transclosure] 65508.855 23.16% 47900463340-51933560777 graph_emission
[seqwish::transclosure] 65532.109 23.21% 51933560777-55909628422 overlap_collect
[seqwish::transclosure] 65544.899 23.21% 51933560777-55909628422 rank_build
[seqwish::transclosure] 65600.346 23.21% 51933560777-55909628422 parallel_union_find
[seqwish::transclosure] 65600.456 23.21% 51933560777-55909628422 dset_write
[seqwish::transclosure] 65600.791 23.21% 51933560777-55909628422 dset_compression
[seqwish::transclosure] 65601.053 23.21% 51933560777-55909628422 dset_sort
[seqwish::transclosure] 65601.457 23.21% 51933560777-55909628422 dset_invert
[seqwish::transclosure] 65601.828 23.21% 51933560777-55909628422 graph_emission
[seqwish::transclosure] 65623.025 23.23% 55909628422-59114103047 overlap_collect
[seqwish::transclosure] 65633.123 23.23% 55909628422-59114103047 rank_build
[seqwish::transclosure] 65687.291 23.23% 55909628422-59114103047 parallel_union_find
[seqwish::transclosure] 65687.463 23.23% 55909628422-59114103047 dset_write
[seqwish::transclosure] 65687.773 23.23% 55909628422-59114103047 dset_compression
[seqwish::transclosure] 65688.008 23.23% 55909628422-59114103047 dset_sort
[seqwish::transclosure] 65688.404 23.23% 55909628422-59114103047 dset_invert
[seqwish::transclosure] 65688.797 23.23% 55909628422-59114103047 graph_emission
[seqwish::transclosure] 65707.393 23.25% 59114103047-61749258273 overlap_collect
[seqwish::transclosure] 65716.673 23.25% 59114103047-61749258273 rank_build
[seqwish::transclosure] 65775.175 23.25% 59114103047-61749258273 parallel_union_find
[seqwish::transclosure] 65775.764 23.25% 59114103047-61749258273 dset_write
[seqwish::transclosure] 65776.197 23.25% 59114103047-61749258273 dset_compression
[seqwish::transclosure] 65776.560 23.25% 59114103047-61749258273 dset_sort
[seqwish::transclosure] 65777.048 23.25% 59114103047-61749258273 dset_invert
[seqwish::transclosure] 65777.556 23.25% 59114103047-61749258273 graph_emission
[seqwish::transclosure] 65792.288 23.28% 61749258273-62596305588 overlap_collect
[seqwish::transclosure] 65900.192 23.28% 61749258273-62596305588 rank_build
[seqwish::transclosure] 66001.520 23.28% 61749258273-62596305588 parallel_union_find
[seqwish::transclosure] 66162.994 23.28% 61749258273-62596305588 dset_write
[seqwish::transclosure] 66184.348 23.28% 61749258273-62596305588 dset_compression
[seqwish::transclosure] 66200.486 23.28% 61749258273-62596305588 dset_sort
[seqwish::transclosure] 66210.417 23.28% 61749258273-62596305588 dset_invert
[seqwish::transclosure] 66222.168 23.28% 61749258273-62596305588 graph_emission
[seqwish::transclosure] 66242.854 24.54% 62596305588-62646305588 overlap_collect
[seqwish::transclosure] 66377.822 24.54% 62596305588-62646305588 rank_build
[seqwish::transclosure] 66479.663 24.54% 62596305588-62646305588 parallel_union_find
[seqwish::transclosure] 66932.138 24.54% 62596305588-62646305588 dset_write
