[seqwish::seqidx] 0.005 indexing sequences
[seqwish::seqidx] 2103.997 index built
[seqwish::alignments] 2103.997 processing alignments
[seqwish::alignments] 6524.770 indexing
[seqwish::alignments] 40892.760 index built
[seqwish::transclosure] 49098.021 11.93% 22662142053-22712329681 graph_emission
[seqwish::transclosure] 49410.617 13.57% 22712329681-22762329681 overlap_collect
[seqwish::transclosure] 49549.806 13.57% 22712329681-22762329681 rank_build
[seqwish::transclosure] 49657.209 13.57% 22712329681-22762329681 parallel_union_find
[seqwish::transclosure] 49879.328 13.57% 22712329681-22762329681 dset_write
[seqwish::transclosure] 49903.743 13.57% 22712329681-22762329681 dset_compression
[seqwish::transclosure] 49925.537 13.57% 22712329681-22762329681 dset_sort
[seqwish::transclosure] 49939.681 13.57% 22712329681-22762329681 dset_invert
[seqwish::transclosure] 49964.169 13.57% 22712329681-22762329681 graph_emission
[seqwish::transclosure] 50268.658 15.21% 22762329681-23015564592 overlap_collect
[seqwish::transclosure] 50455.189 15.21% 22762329681-23015564592 rank_build
[seqwish::transclosure] 50553.266 15.21% 22762329681-23015564592 parallel_union_find
[seqwish::transclosure] 50720.896 15.21% 22762329681-23015564592 dset_write
[seqwish::transclosure] 50738.131 15.21% 22762329681-23015564592 dset_compression
[seqwish::transclosure] 50757.719 15.21% 22762329681-23015564592 dset_sort
[seqwish::transclosure] 50768.137 15.21% 22762329681-23015564592 dset_invert
[seqwish::transclosure] 50778.127 15.21% 22762329681-23015564592 graph_emission
[seqwish::transclosure] 51130.187 16.33% 23015565049-26154086394 overlap_collect
[seqwish::transclosure] 51211.692 16.33% 23015565049-26154086394 rank_build
[seqwish::transclosure] 51275.867 16.33% 23015565049-26154086394 parallel_union_find
[seqwish::transclosure] 51280.130 16.33% 23015565049-26154086394 dset_write
[seqwish::transclosure] 51281.539 16.33% 23015565049-26154086394 dset_compression
[seqwish::transclosure] 51282.461 16.33% 23015565049-26154086394 dset_sort
[seqwish::transclosure] 51283.073 16.33% 23015565049-26154086394 dset_invert
[seqwish::transclosure] 51283.829 16.33% 23015565049-26154086394 graph_emission
[seqwish::transclosure] 51671.016 16.40% 26154086394-33659569617 overlap_collect
[seqwish::transclosure] 51696.975 16.40% 26154086394-33659569617 rank_build
[seqwish::transclosure] 51757.669 16.40% 26154086394-33659569617 parallel_union_find
[seqwish::transclosure] 51758.011 16.40% 26154086394-33659569617 dset_write
[seqwish::transclosure] 51758.502 16.40% 26154086394-33659569617 dset_compression
[seqwish::transclosure] 51758.887 16.40% 26154086394-33659569617 dset_sort
[seqwish::transclosure] 51759.345 16.40% 26154086394-33659569617 dset_invert
[seqwish::transclosure] 51759.811 16.40% 26154086394-33659569617 graph_emission
[seqwish::transclosure] 51795.285 16.43% 33659794026-41706761694 overlap_collect
[seqwish::transclosure] 51823.501 16.43% 33659794026-41706761694 rank_build
[seqwish::transclosure] 51882.278 16.43% 33659794026-41706761694 parallel_union_find
[seqwish::transclosure] 51882.452 16.43% 33659794026-41706761694 dset_write
[seqwish::transclosure] 51882.754 16.43% 33659794026-41706761694 dset_compression
[seqwish::transclosure] 51883.009 16.43% 33659794026-41706761694 dset_sort
[seqwish::transclosure] 51883.414 16.43% 33659794026-41706761694 dset_invert
