octopus08
[seqwish::seqidx] 0.004 indexing sequences
[seqwish::seqidx] 891.785 index built
[seqwish::alignments] 891.786 processing alignments
[seqwish::alignments] 1665.702 indexing
[seqwish::alignments] 3846.479 index built
[seqwish::transclosure] 15074.194 47.92% 1502934058-1552934058 rank_build
[seqwish::transclosure] 15122.929 47.92% 1502934058-1552934058 parallel_union_find
[seqwish::transclosure] 15211.397 47.92% 1502934058-1552934058 dset_write
[seqwish::transclosure] 15224.195 47.92% 1502934058-1552934058 dset_compression
[seqwish::transclosure] 15240.792 47.92% 1502934058-1552934058 dset_sort
[seqwish::transclosure] 15245.400 47.92% 1502934058-1552934058 dset_invert
[seqwish::transclosure] 15258.956 47.92% 1502934058-1552934058 graph_emission
[seqwish::transclosure] 15427.998 49.55% 1552934058-1602934058 overlap_collect
[seqwish::transclosure] 15459.053 49.55% 1552934058-1602934058 rank_build
[seqwish::transclosure] 15501.305 49.55% 1552934058-1602934058 parallel_union_find
[seqwish::transclosure] 15618.157 49.55% 1552934058-1602934058 dset_write
[seqwish::transclosure] 15628.919 49.55% 1552934058-1602934058 dset_compression
[seqwish::transclosure] 15639.722 49.55% 1552934058-1602934058 dset_sort
[seqwish::transclosure] 15643.987 49.55% 1552934058-1602934058 dset_invert
[seqwish::transclosure] 15653.358 49.55% 1552934058-1602934058 graph_emission
[seqwish::transclosure] 15813.873 50.97% 1602934058-1655931227 overlap_collect
[seqwish::transclosure] 15831.818 50.97% 1602934058-1655931227 rank_build
[seqwish::transclosure] 15866.958 50.97% 1602934058-1655931227 parallel_union_find
[seqwish::transclosure] 15941.176 50.97% 1602934058-1655931227 dset_write
[seqwish::transclosure] 15949.075 50.97% 1602934058-1655931227 dset_compression
[seqwish::transclosure] 15955.159 50.97% 1602934058-1655931227 dset_sort
[seqwish::transclosure] 15958.176 50.97% 1602934058-1655931227 dset_invert
[seqwish::transclosure] 15962.793 50.97% 1602934058-1655931227 graph_emission
[seqwish::transclosure] 16131.684 51.98% 1655931227-1705973052 overlap_collect
[seqwish::transclosure] 16157.713 51.98% 1655931227-1705973052 rank_build
[seqwish::transclosure] 16199.933 51.98% 1655931227-1705973052 parallel_union_find
